semantic_replication_id,dgp_seed_state_uint32x4,dgp_realization_hash
dgp2_N100_T100_r00001_truth1-0-2,2669154363-2734402212-96468786-963535446,c8cc760a59af7e7d1a670c0937691da9ff7fe0f5ddb5a54b71127e1f9e47143e
dgp2_N100_T100_r00002_truth1-0-2,3439349284-3869155278-23841802-885859104,e7bb0fc373c6d9bd1bde637256a5e99d3b2ac7206fe65249062755bcfc4ab502
dgp2_N100_T100_r00000_truth1-1-1,1931811349-2415079415-328709066-2231103701,6888a4d45396a73291d84d9fa449ba78a9b855261cbf3b55832ed473f39069dc
dgp2_N100_T100_r00001_truth1-1-1,1770917967-1339318943-3094907517-2896278006,81ffaf02699b9efbbc281b6ef5abdf19271ecfd21f842bd7b07a85231e07701a
dgp2_N100_T100_r00002_truth1-1-1,2081097973-2933688078-2354368827-3399889393,0e7ab7cc50766574cbd955915c9a95e5a2cc64030d01502d264f0f8996e75079
dgp2_N100_T100_r00000_truth2-1-1,3937459214-3743326893-2848525432-4249112027,cfb7586796831989198ad9ddb3d953206a5ab992c108e6ec1008f6f8e139e45f
dgp2_N100_T100_r00001_truth2-1-1,3875544403-3693237409-3871079157-2185802655,682aefd9796645100b4381fd22e78e3cb46e4a1568cd83165e5044d12953b5f8
dgp2_N100_T100_r00002_truth2-1-1,3721943854-279786092-3740443977-1403231084,a1494c2afa3b76e89ea036d50cc91299687670316e7f5db5139b5fb16f8e68f9
dgp2_N100_T200_r00000_truth1-0-2,1127573059-1818030493-1863221239-2653795895,b052b2457e84d110d17de9a99ecc98b8ca0598371711a722601101b11db1404c
dgp2_N100_T200_r00001_truth1-0-2,482471744-2644425041-173242720-1779689672,8879c49a02748d99f7ec6bf20f264528028858ba4b8dd25ce4e0c6ce02de230b
dgp2_N100_T200_r00002_truth1-0-2,3799183504-2527372708-2143059129-4199936207,93e5f76dfa65380650722ed76a49513c58063b32ad2e7cd28a766e1d8ac252a7
dgp2_N100_T200_r00000_truth1-1-1,2632301346-2248635392-1661139875-1160661696,3741e20a64426270116afc33fd1d432b6b2eda419d25eaad9cdf82ade49ce1ac
dgp2_N100_T200_r00001_truth1-1-1,1162241432-1539829573-2011760443-3967621261,c278d57358ee9c49fc4d70e83f10bb13fb943ac32229feca8934cde9fc6563c6
dgp2_N100_T200_r00002_truth1-1-1,2276381777-2431264747-2471652980-87082956,5d020a33177e2e2e95c1959920b559659fc10b44328f6a8ada61c55cc9eec021
dgp2_N100_T200_r00000_truth2-1-1,779640520-3473662907-1267405469-2051711537,3b53dc0e774e08804813d060d9770fc48d33f79a2bf2a6b00436b423cd43a51a
dgp2_N100_T200_r00001_truth2-1-1,2909446021-1037833619-2825099094-51782919,b8a5f1adeac6833cce44205826ff38723fe48c220896ec0a5f91d2eb45b7113d
dgp2_N100_T200_r00002_truth2-1-1,684342990-2637977197-4167115886-1465024264,e8cae7d8f70b6cff232c04809c8c58f685e231488df412c3ed8025db220bb9a8
dgp2_N200_T100_r00000_truth1-0-2,1160717492-3103778483-85688007-845631366,05c8e0f57fd0e01dc2cc4b09d441f3c61f7e2ed17aa213c930a16abbd293e3e3
dgp2_N200_T100_r00001_truth1-0-2,1492856023-592413499-3390446711-2652383464,dd608552b40d1343cbd095b4c70300b0735d453c3fdc2c3baf15b9578b397ad8
dgp2_N200_T100_r00002_truth1-0-2,3410010772-3091120781-1330016960-787176426,fb99bf75089c3fac35d36978c38d3c0c4fb63eb425a9028b87fdfb705799ccf2
dgp2_N200_T100_r00000_truth1-1-1,4229688592-2083594547-3011881066-1422467979,f4755ee8bbf117f2f2e8c7d45750ffae99b3bbcbda9e0a92e470c0abcd108dd6
dgp2_N200_T100_r00001_truth1-1-1,4158479276-2685889285-1523139240-1602104542,4b0b609bd15e71a527e3e474fa115c77a1656658b3f079a43ac410e04ec8d03f
dgp2_N200_T100_r00002_truth1-1-1,4074403517-2217419723-3800116032-3150709109,8eb504328290315d26f4f79f1abdfee3d22d5dc382d3b65243b34ad15eba2dac
dgp2_N200_T100_r00000_truth2-1-1,3790761225-1173807021-3031293583-885365753,3a62b42b2cd9bb304b3c8518afad955e19fe009f0f0e71bafa17eb83d687ad9b
dgp2_N200_T100_r00001_truth2-1-1,1103191338-425247077-955191325-2614928788,a190aead170ddf010751d58a35fed306fd51f5ee375c5cb1594caa8ac498a07a
dgp2_N200_T100_r00002_truth2-1-1,2255864135-2383635385-3104168480-4258043776,dba58d5f85ae0aff5160c837cbb1d68d36cb69fc77d8e9a8706f196eaecb8101
dgp2_N200_T200_r00000_truth1-0-2,3743406758-1306273443-2267601266-3263202013,5caa7df268fc0d0fbe35e863cd639617925fe2b8616226e251e49154664900ea
dgp2_N200_T200_r00001_truth1-0-2,372284910-77892654-1040877134-1104300200,82bc196625566abb6664b8bc1586ffc79ad90bfcebb1edec793fd5fee27eac59
dgp2_N200_T200_r00002_truth1-0-2,1287592202-926428889-3147535480-1455287782,e11e43a19aab0deb24904f903a9b0400533ffd971cdbba489c22eb182588b006
dgp2_N200_T200_r00000_truth1-1-1,331614017-1639660970-1141503130-881740908,17a8bd8ef94f8d32d1452224fdb1b082a23f6713b14fd40425b333a9f60c2234
dgp2_N200_T200_r00001_truth1-1-1,3871191317-3442819875-2705658685-603889802,6c503f4ce1e15ec0c508ca668ae5c3e91efb1db7262e983c140a1980052f6fd7
dgp2_N200_T200_r00002_truth1-1-1,168039143-1143408197-1636315705-2583352812,f9a8a24e30b87fdcd72b3d73b4edb5f09a12a8a4fd4f15984ba5360095ace45f
dgp2_N200_T200_r00000_truth2-1-1,2183934088-2639882523-148368913-210126692,26ccfdffe38ac8ce6567a083892ceb0b6a154145dba5f25f2d41f87b848d4f3b
dgp2_N200_T200_r00001_truth2-1-1,1367797622-1444787725-3036616117-1688060580,b571de7489d33e197abed47c7a4521896d39c6df1010f89dabccd09c33081a27
dgp2_N200_T200_r00002_truth2-1-1,1621781694-4189914052-1198683492-2430386415,009861fa14b9479e4a1e00fac1baea6d9e98838d1803035d177596cadd04da19
dgp3_N50_T50_r00000_truth1-0-2,1286460399-2279507330-2059296155-672249821,88b593abc3e11ca51455eac95532160d7bc4257943701d3f9c6cf322250e7f3c
dgp3_N50_T50_r00001_truth1-0-2,1364441522-2552033468-2661550231-2054488423,61a6ed207cdf7cdfa270182956722b51e0f979917cb3c88cacd6d9d72cf61e5f
dgp3_N50_T50_r00002_truth1-0-2,1296281065-1838850120-538973158-2436433544,d99fd28ecc5b99efddac6a12a3730977e328ea4ba5ac90244b3032da847a53e6
dgp3_N50_T50_r00000_truth1-1-1,1787509022-980612291-2264160897-3746017924,03d9f430e27766a2625728910e3c77b8a111abe95da9f83ad0fd9c9e943102ba
dgp3_N50_T50_r00001_truth1-1-1,539936278-884572354-2817671413-3966880602,b90a8f4393b171a4c7591ef7d7deee79591d348c70afbcaff44e56104d08c944
dgp3_N50_T50_r00002_truth1-1-1,1051216336-3450759078-3828446514-3437268365,4531304422ee5958ec933540643d2b5fa66df52e0d5d55203acce6783f815eb5
dgp3_N50_T50_r00000_truth2-1-1,1310934072-1270295685-1120480843-229258439,63fbf6c8c93feab866e577e906889a6e6229814edf6276ce3678fa21ead39786
dgp3_N50_T50_r00001_truth2-1-1,303856711-3513806541-941558668-3304176264,35b7fccfe52cc1852ab325697d464b399d7f1b25643449219505e4ab1d63a09f
dgp3_N50_T50_r00002_truth2-1-1,2487863820-2779217692-510023001-3888235150,2df87b84962772f083164a64a2ec730df6cabd5d5d4fe20bcb106322bce0048c
dgp3_N100_T100_r00000_truth1-0-2,1486809788-3470835578-2828738532-480705615,f7d62a1602afc3c86f857e546de7174446880808996bee3c720569418fd02cde
dgp3_N100_T100_r00001_truth1-0-2,2821187388-1241561100-1598424872-2486452929,b398fba12e8f3185adcfe4bf529a9b0a87eb60828d1c81e6739dd975b0db3d5e
dgp3_N100_T100_r00002_truth1-0-2,3223358018-2139520084-1500177038-3074857076,5afd13a56c5c61449ebe75e40178edb5cedfeb247b3f07f542fd3e41b9d439d2
dgp3_N100_T100_r00000_truth1-1-1,800624461-1201598490-1118010334-613245821,37af1461e411e3035b8fbb6669d48d1774c66466a77646aa8fb818831177396d
dgp3_N100_T100_r00001_truth1-1-1,733804780-2954729125-3062950983-3132550845,d281a17ca57f24c1abf038956e04b586312420b3af79981f6826eb3084c307b2
dgp3_N100_T100_r00002_truth1-1-1,3221864397-430044745-1720711488-2354641883,339833ebcb2b1bd963185bc1a97bb5e7c24367dc304683b2541b30ea6b324095
dgp3_N100_T100_r00000_truth2-1-1,2959526028-146271523-4137328768-319987039,95852fdaa8aab731bea915081c43adb02ad4a86fc0a5c522d06bc8fdc347b2fb
dgp3_N100_T100_r00001_truth2-1-1,976224121-2357997850-1393717145-3993617420,697c8e8a6236984b41214bb44de443f4401b21f857cdc35c86f27ccf8529e129
dgp3_N100_T100_r00002_truth2-1-1,3411092425-503350499-1123752593-1407803333,95c0f5b495cda4fab8689027a45d096700a96e806a6f5dee668352af67156c88
dgp3_N100_T200_r00000_truth1-0-2,938605600-988183740-635215163-4032801214,18083930c1332f118e562f19004ff61151d6fd648011a94d137e45d28b255561
dgp3_N100_T200_r00001_truth1-0-2,132042692-2685114869-3716010726-1199888201,f3f58bde06e8637686c38b023ea1322250ae97c343dd505f51b68fa295bd72b2
dgp3_N100_T200_r00002_truth1-0-2,1448961709-1017913080-618808642-1844282223,45eca59ce2be79c5833c6be8b1616e595c1b66f8a5856a2321e122a926fada14
dgp3_N100_T200_r00000_truth1-1-1,4250758966-2789389851-3659802913-1137425109,3b8cf34dec38da5b6e88d1580111c0b20530fe79097314febfd94215e449f113
dgp3_N100_T200_r00001_truth1-1-1,1421913956-2949771112-576327862-529411216,aaba470204ba3c965241769a180fb923e519691a95e11c55eeeb452bfe896583
dgp3_N100_T200_r00002_truth1-1-1,2239952218-2216757505-2313403139-373250267,baf365d7e4a9dcf7612c441329c860e51c4afd98f6187904d4446313c542241e
dgp3_N100_T200_r00000_truth2-1-1,479170968-3420788171-1864653244-498376269,f11f7d11b8a653f8aeec54dc87c065fc0198da938eda016bde90a0af8768372d
dgp3_N100_T200_r00001_truth2-1-1,2070444568-465963934-1203666639-929789934,f81c184b241717a11dafdfef69b00ce96d05e283e8acb27d1239849853f60740
dgp3_N100_T200_r00002_truth2-1-1,3371159053-1768383540-4162441873-202815216,31080b0f599d4cab478a77c2520ff14309bcd2e432af3b2a33677a84f098573e
dgp3_N200_T100_r00000_truth1-0-2,3656346985-502819203-2078870138-2860639267,0a37af0d263b8d60830a3426a1f25db94aba30072f94adaa8c749ad813a954a7
dgp3_N200_T100_r00001_truth1-0-2,853473217-762169822-347844544-1143722543,9ef4375f0b0e5ca7770b67504622c54cc90e7f43e70819012a0c564e37e459ab
dgp3_N200_T100_r00002_truth1-0-2,2265846964-3256309932-2928012946-3917602969,d3fc1c0317a4a38d49ad6c1208c8f1cfc3052d8ac064f24ea08bd0e3b86976e1
dgp3_N200_T100_r00000_truth1-1-1,1015827703-2109203979-3680649681-2458841060,b59025acb6836face419347794988b4e4742569cb6b1345c5c8b5fabed3ea153
dgp3_N200_T100_r00001_truth1-1-1,392009985-267571980-211665891-24465522,3b2544c79153c95415b3d4f39bacd91bbe331ece267075acb577f5c5eff4c36f
dgp3_N200_T100_r00002_truth1-1-1,2889174065-815809023-4134965435-3722425895,1198e8a9e48242cb8e589502602972bd884a33c2011d7aed57691004c579b1fd
dgp3_N200_T100_r00000_truth2-1-1,4114334519-539277116-979419961-851985244,49ea6cf307b2011203b39eb9a10f90ca3aaaf233fff75008d4a4821160cfb8d4
dgp3_N200_T100_r00001_truth2-1-1,2472583359-2543471858-2001434419-461736905,a1af57aad8bf5776c67a79a006f4176eadf549465483d0c70d3b7f7f5e9519a1
dgp3_N200_T100_r00002_truth2-1-1,3260695765-3603608872-1620334880-480690828,ce7adb49e0c1f98e63fe806cf2a60df94667b96516ec45bc760cc6c06573be16
dgp3_N200_T200_r00000_truth1-0-2,2312764212-1494198990-342391507-2028782964,fd5b937c6124f2fdb3365219bc89947f1e2be66c69213d75fadf546c5f6aeefe
dgp3_N200_T200_r00001_truth1-0-2,2318876328-1263913371-2566942784-3198552952,a59ee30e5f04481d835629690242a758852e2871cd37eb253446eeb3804c5699
dgp3_N200_T200_r00002_truth1-0-2,4005959600-1132017777-3841167933-3541507839,8e4f980d556976d97a48484b3b9329245040be8745add5aaefc364176ca4d744
dgp3_N200_T200_r00000_truth1-1-1,2106529059-2158247977-1947629300-2683282092,98753abed5a946128fc79ef11f26862e960e7123ccb167018d7419331f644fd2
dgp3_N200_T200_r00001_truth1-1-1,1476671418-3377321581-2438484497-329439386,5c589c186143d8f820d85cfa37a08e63975b26d4fba16e989e5371db44da955f
dgp3_N200_T200_r00002_truth1-1-1,238557113-1918276945-2501175461-3612053427,b2da71fc001a83c42572798df35c29f3b49662a47a6c69e4cde218dc068764a7
dgp3_N200_T200_r00000_truth2-1-1,830966471-1496634249-696573124-2406246495,43529b49175288eef129d4ae87e3a28785a0f81c2aeb4aef7578c8cf0ecad6ec
dgp3_N200_T200_r00001_truth2-1-1,2245829658-2500595684-2494441033-3861288289,2a4b5a535500633e4fcf19aafe767d20245883f91585377a3288df511e230296
dgp3_N200_T200_r00002_truth2-1-1,643657787-3309603376-3781479713-515715932,7ea859114273e7a40e438533215becedd9a961a414e8ec207fc4fc68448c0830
dgp4_N50_T50_r00000_truth1-0-2,303225101-1312923315-2014688279-2796470642,27950943253732c22e4ae5437367b73c78421645561ca129a2be2d76f2b107f2
dgp4_N50_T50_r00001_truth1-0-2,1032507813-2251874229-3730216609-3684528379,a242d518b4b5b376bc9ae7d7f9bb64873fec9cc05c77ad060f3efb937aefa26c
dgp4_N50_T50_r00002_truth1-0-2,3363514863-4272268767-650400162-3644507851,e90a695e7891eb787f541224dd91b504c18a5afa148a0bbdf4b74df971a45882
dgp4_N50_T50_r00000_truth1-1-1,2326518060-537584746-290484355-454258748,b6ed931f20e79442842f92443fc93a30eabe72d9faadfc54c042e00dd3b3fb25
dgp4_N50_T50_r00001_truth1-1-1,1392847894-1504368616-3701796987-3088375702,b217378d2534dd15feb995a61045ee6dd791122692ad6c1a9171b8792b51427b
dgp4_N50_T50_r00002_truth1-1-1,3897366786-1186565944-3409309701-1098751945,c983c98c61d8a7f03dd6b48acf0ad1462b8a737bbae6df96a389185bec79b0a8
dgp4_N50_T50_r00000_truth2-1-1,2332520516-2219866661-3549141762-1582733331,d30d646014fb9021217fa74eda55839fd0f4f9584a6713aa84136e05e2d66373
dgp4_N50_T50_r00001_truth2-1-1,3793340183-3388410635-3118933239-1910377237,0e13f9bb7730d53c453abfc898139869fbfb1a6e8d228cafcb6f96dd1c6d2ab9
dgp4_N50_T50_r00002_truth2-1-1,1846995514-2003249125-1079408182-4041442291,5a68e2dae9ce58c92830cb4479006e562cf1b498a1732c07d9561476ca9fa1ae
dgp4_N100_T100_r00000_truth1-0-2,2069766656-2578762471-2033592375-44013636,fc889c17afad8c2cc68c8bf7c1a9f38d8e1dc28aba1851f5094b3bc55733af50
dgp4_N100_T100_r00001_truth1-0-2,2729666986-1629179697-2333094189-211834719,d08282067126de01d539fd49c8366d9cacea6c1de7e0b5e6a04231d455768ce4
dgp4_N100_T100_r00002_truth1-0-2,3155436651-2332172037-1303179375-3426118865,2770ac2e4719155e220480304e5bf038a32a39000ececcdceb9416cdac28db21
dgp4_N100_T100_r00000_truth1-1-1,385918163-4132155763-731645527-4014022654,a7e3a44a1341226484956f905c32dffe44c2716bb7cd9ac77fd9b17321a490ef
dgp4_N100_T100_r00001_truth1-1-1,1207003025-3771024125-4069933038-397760462,428bf1579a487d44fbfedccf7c1dbac5766839d54fae0b70ffb32147b8bc388f
dgp4_N100_T100_r00002_truth1-1-1,2981313118-1331594639-3177660210-2038768691,e7fc16e4b53c422c24730487099afd16001b56606969a05666add72a8cf611b9
dgp4_N100_T100_r00000_truth2-1-1,2874203585-2844070747-2763398740-1146155464,baf8763ed05f86271192cd34f03c5d85eb4ca4669f9116feb315e346db0bf8f3
dgp4_N100_T100_r00001_truth2-1-1,583419614-2872437717-2107304508-804724245,b9d88f53913bcb06c85e8e325edc203ab7e94546340f6eb7d2c859f280e1be95
dgp4_N100_T100_r00002_truth2-1-1,1173665974-4227172950-101913412-326261931,13d2252200aa90aa50a1e0c56ae887abc02196db0555d85967373455fce685f4
dgp4_N100_T200_r00000_truth1-0-2,563170358-1765172719-2288690897-230186793,eb4cf1d44d6d68e7075ca2ccab8c851fd14cc516a06057bd83b224294947501b
dgp4_N100_T200_r00001_truth1-0-2,4219165668-849120921-4160178494-2033058563,e4c5561afe23c79efb27f084d5162e7a99ea14fa0b2a9fd9c690c8e78566fdc3
dgp4_N100_T200_r00002_truth1-0-2,105434115-2042572771-1636393000-742735955,67286bf8ad72251033a8ad1adc8afe73d9d0677ae053791079380c1360e663db
dgp4_N100_T200_r00000_truth1-1-1,2434068050-2612452472-1656677628-2601928093,89878969bebeb89031b22004c450a0389fb6ef5003be6955014cb4b5bc6cbbe8
dgp4_N100_T200_r00001_truth1-1-1,1527008629-549951036-462851613-2314827651,fb5064fd4a2924f2989af1646e2956c0d31928e93458adf066cf27b9945bc3f3
dgp4_N100_T200_r00002_truth1-1-1,219190408-3385337432-781999289-2740724383,3eb5cf327aa1899804723206bc8da0d4aab3f20695d6497f8ff2fc96e809d677
dgp4_N100_T200_r00000_truth2-1-1,336137141-2896164969-3273121974-1333298236,0e0b4f752dc369027ab6d334233f0c6b58158f0268c8a9af057b7b44c0465ba1
dgp4_N100_T200_r00001_truth2-1-1,1844252448-3331810183-111716798-2511901438,5aaac5a955e27ad240da7382cf5860e13241a24a4507cbfe51d5feaef0c64c8e
dgp4_N100_T200_r00002_truth2-1-1,1131670080-3648155492-758057784-1316711291,2758a1ef16e5f25c9720db4b272ae4d5279621e09879c8678c73e3de999af438
dgp4_N200_T100_r00000_truth1-0-2,2641695354-2491348212-3437186723-3081849353,84e2674449bca51f29c1896ded4897da1df9b86477804c8a90322240762373fb
dgp4_N200_T100_r00001_truth1-0-2,2317070319-92001719-1571092967-2759812170,61ef90816738ca5f688c358c3500a499455b685fe637e205398aaa230426d918
dgp4_N200_T100_r00002_truth1-0-2,2956283122-2466769023-1143408640-2086193061,3087dd37a2a6d76e220547575224836efb31dc42b568d8296f6995718dc51b57
